"Date","Price","Open","High","Low","Vol.","Change %"
"06/06/2025","282.135","281.900","282.215","281.900","","0.03%"
"06/05/2025","282.050","283.050","283.050","281.935","","-0.02%"
"06/04/2025","282.100","283.050","283.080","282.085","","-0.34%"
"06/03/2025","283.050","283.000","283.050","281.950","","0.42%"
"06/02/2025","281.875","281.875","281.950","281.875","","-0.04%"
"06/01/2025","281.975","281.975","281.975","281.975","","0.00%"
"05/31/2025","281.975","281.975","281.975","281.975","","0.00%"
"05/30/2025","281.975","281.925","282.025","281.875","","-0.01%"
"05/29/2025","282.000","283.000","283.000","282.000","","-0.27%"
"05/28/2025","282.750","282.750","282.750","282.750","","-0.04%"
"05/27/2025","282.875","282.850","283.015","282.100","","0.31%"
"05/26/2025","282.000","283.100","283.100","282.000","","-0.34%"
"05/25/2025","282.975","282.975","282.975","282.975","","0.00%"
"05/24/2025","282.975","282.975","282.975","282.975","","0.00%"
"05/23/2025","282.975","283.000","283.115","281.810","","0.43%"
"05/22/2025","281.750","282.800","283.000","281.725","","0.00%"
"05/21/2025","281.750","282.800","282.800","281.750","","-0.03%"
"05/20/2025","281.825","282.550","282.800","281.650","","0.03%"
"05/19/2025","281.750","282.250","282.565","281.650","","0.00%"
"05/18/2025","281.750","281.750","281.750","281.750","","0.00%"
"05/17/2025","281.750","281.750","281.750","281.750","","0.00%"
"05/16/2025","281.750","281.600","281.800","281.600","","0.00%"
"05/15/2025","281.750","281.525","281.750","281.500","","0.00%"
"05/14/2025","281.750","281.600","281.850","281.600","","0.00%"
"05/13/2025","281.750","281.550","281.750","281.175","","0.20%"
"05/12/2025","281.175","281.500","281.500","281.175","","-0.03%"
"05/11/2025","281.250","281.250","281.250","281.250","","0.00%"
"05/10/2025","281.250","281.250","281.250","281.250","","0.00%"
"05/09/2025","281.250","281.240","282.265","280.050","","-0.35%"
"05/08/2025","282.250","282.000","282.250","281.375","","0.38%"
"05/07/2025","281.175","281.600","282.000","281.150","","0.00%"
"05/06/2025","281.175","281.600","281.600","280.900","","0.00%"
"05/05/2025","281.175","281.525","281.600","281.075","","0.02%"
"05/03/2025","281.125","281.125","281.125","281.125","","0.00%"
"05/02/2025","281.125","281.400","281.525","281.000","","0.00%"
"05/01/2025","281.125","281.125","281.125","281.125","","0.03%"
"04/30/2025","281.030","281.100","281.165","280.840","","-0.01%"
"04/29/2025","281.050","281.065","281.400","280.875","","0.00%"
"04/28/2025","281.050","281.400","281.400","280.850","","0.05%"
"04/26/2025","280.900","280.900","280.900","280.900","","-0.18%"
"04/25/2025","281.400","282.000","282.000","280.875","","-0.17%"
"04/24/2025","281.875","281.750","282.015","280.450","","0.36%"
"04/23/2025","280.850","281.750","281.750","280.800","","0.00%"
"04/22/2025","280.850","280.500","281.850","280.500","","0.11%"
"04/21/2025","280.550","281.625","281.850","280.500","","0.12%"
"04/19/2025","280.200","280.200","280.200","280.200","","0.00%"
"04/18/2025","280.200","280.500","282.325","280.475","","-0.07%"
"04/17/2025","280.400","281.450","281.625","280.325","","0.08%"
"04/16/2025","280.180","281.625","281.625","280.315","","-0.13%"
"04/15/2025","280.550","281.625","281.625","280.500","","0.12%"
"04/14/2025","280.200","281.625","281.625","280.425","","0.02%"
"04/12/2025","280.130","280.130","280.130","280.130","","0.00%"
"04/11/2025","280.130","280.650","281.625","280.315","","-0.10%"
"04/10/2025","280.400","281.625","281.625","280.500","","-0.04%"
"04/09/2025","280.500","281.125","281.625","280.625","","0.00%"
"04/08/2025","280.500","280.875","281.125","280.100","","0.09%"
"04/07/2025","280.250","280.725","280.875","280.375","","-0.02%"
"04/05/2025","280.320","280.320","280.320","280.320","","0.00%"
"04/04/2025","280.320","280.600","280.875","280.375","","0.02%"
"04/03/2025","280.250","280.250","280.675","280.125","","0.13%"
"04/02/2025","279.900","280.140","280.180","280.110","","0.05%"
