"Date","Price","Open","High","Low","Vol.","Change %"
"08/12/2025","382.17","378.00","382.99","378.00","993.64K","1.11%"
"08/11/2025","377.97","370.00","379.00","370.00","1.41M","2.16%"
"08/08/2025","369.99","371.00","373.75","368.10","1.02M","0.13%"
"08/07/2025","369.51","376.00","376.51","368.96","980.58K","-1.24%"
"08/06/2025","374.15","364.50","376.00","363.81","2.37M","2.83%"
"08/05/2025","363.87","362.35","365.00","362.00","591.96K","0.45%"
"08/04/2025","362.25","363.35","366.00","361.06","561.63K","-0.20%"
"08/01/2025","362.99","360.45","364.05","358.02","499.10K","0.70%"
"07/31/2025","360.45","365.02","365.99","359.04","561.43K","-0.16%"
"07/30/2025","361.03","355.00","364.00","352.80","922.45K","2.09%"
"07/29/2025","353.64","351.20","357.99","351.20","787.33K","0.83%"
"07/28/2025","350.72","355.00","358.00","349.89","1.08M","-1.24%"
"07/25/2025","355.13","353.00","359.50","351.51","632.23K","1.14%"
"07/24/2025","351.11","354.60","358.00","350.12","789.08K","-0.92%"
"07/23/2025","354.36","358.00","358.87","353.51","472.84K","-0.57%"
"07/22/2025","356.39","355.80","361.90","355.70","1.13M","0.21%"
"07/21/2025","355.66","356.15","358.70","353.01","1.00M","-0.06%"
"07/18/2025","355.88","360.92","365.00","355.05","661.17K","-1.40%"
"07/17/2025","360.92","356.00","363.75","353.00","1.09M","1.15%"
"07/16/2025","356.83","365.94","365.94","352.51","2.75M","-2.50%"
"07/15/2025","365.97","376.00","377.78","365.25","1.54M","-2.62%"
"07/14/2025","375.82","380.00","380.00","373.50","2.46M","0.11%"
"07/11/2025","375.42","375.11","381.00","374.00","848.73K","0.17%"
"07/10/2025","374.79","363.27","395.00","363.00","2.01M","3.17%"
"07/09/2025","363.27","363.00","364.50","359.00","732.00K","0.24%"
"07/08/2025","362.40","360.10","364.50","355.60","1.26M","0.95%"
"07/07/2025","358.98","358.99","364.89","355.65","1.09M","0.95%"
"07/04/2025","355.60","351.99","357.00","350.00","903.72K","1.19%"
"07/03/2025","351.42","360.00","362.00","346.20","1.35M","-1.60%"
"07/02/2025","357.12","347.00","366.00","347.00","1.99M","3.41%"
"07/01/2025","345.36","333.00","348.00","332.10","1.46M","4.01%"
"06/30/2025","332.05","334.00","336.88","330.97","791.12K","0.84%"
"06/27/2025","329.28","320.00","334.01","320.00","970.17K","2.98%"
"06/26/2025","319.76","321.00","323.50","318.00","469.80K","-0.14%"
"06/25/2025","320.20","320.00","325.00","318.00","763.58K","-0.09%"
"06/24/2025","320.49","312.00","322.00","308.05","2.39M","5.16%"
"06/23/2025","304.76","305.00","310.00","300.05","1.87M","-1.13%"
"06/20/2025","308.25","308.10","311.89","307.00","746.53K","0.06%"
"06/19/2025","308.08","309.20","313.00","306.00","1.18M","-0.36%"
"06/18/2025","309.18","307.00","310.00","305.50","1.07M","0.69%"
"06/17/2025","307.06","308.50","311.90","305.50","744.93K","-0.45%"
"06/16/2025","308.45","305.05","309.90","305.05","299.49K","0.69%"
"06/13/2025","306.33","310.00","310.00","303.00","861.19K","-1.50%"
"06/12/2025","310.99","311.89","316.69","310.00","741.33K","0.04%"
"06/11/2025","310.86","312.44","316.65","309.50","1.27M","0.48%"
"06/10/2025","309.36","306.97","311.00","301.12","1.16M","1.78%"
"06/05/2025","303.94","310.00","310.80","303.00","811.33K","-2.11%"
"06/04/2025","310.48","309.42","313.50","308.00","921.73K","0.34%"
"06/03/2025","309.42","306.00","311.00","296.66","6.20M","1.29%"
"06/02/2025","305.48","307.50","310.00","300.00","1.50M","0.72%"
"05/30/2025","303.29","290.00","312.99","288.30","2.19M","4.40%"
"05/29/2025","290.51","290.00","294.90","287.50","495.33K","0.43%"
"05/27/2025","289.28","284.51","290.81","284.50","1.86M","1.61%"
"05/26/2025","284.69","285.00","289.50","283.50","618.59K","-1.13%"
"05/23/2025","287.93","286.28","293.50","284.53","833.30K","0.58%"
"05/22/2025","286.28","289.02","290.99","284.50","663.62K","-0.90%"
"05/21/2025","288.89","288.90","292.49","287.69","756.81K","0.50%"
"05/20/2025","287.46","287.00","288.90","284.00","4.06M","0.51%"
"05/19/2025","286.01","287.99","287.99","283.60","368.74K","-0.21%"
"05/16/2025","286.62","286.49","288.33","285.00","1.56M","0.36%"
"05/15/2025","285.60","282.00","287.00","281.00","3.18M","1.91%"
"05/14/2025","280.24","277.45","284.00","275.00","1.86M","1.57%"
"05/13/2025","275.92","289.90","289.90","274.50","1.82M","-2.10%"
"05/12/2025","281.84","280.00","281.86","270.01","5.64M","9.99%"
"05/09/2025","256.24","253.00","258.00","245.00","1.24M","1.25%"
"05/08/2025","253.07","261.00","269.00","236.60","2.37M","-3.74%"
"05/07/2025","262.89","250.01","272.00","250.01","1.78M","-2.40%"
